subject,feature_set,n_ref,n_zero_iqr_cols,zero_iqr_cols
S4,clean,40,7,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum;motion_flag;motion_fraction
S9,clean,40,7,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum;motion_flag;motion_fraction
S16,clean,40,6,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum;motion_flag
S8,clean,40,6,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum;motion_flag
S7,clean,40,2,motion_flag;motion_fraction
S10,clean,40,2,motion_flag;motion_fraction
S11,clean,40,1,motion_flag
S2,clean,40,1,motion_flag
S17,clean,40,1,motion_flag
S14,clean,40,1,motion_flag
S15,clean,40,1,motion_flag
S6,clean,40,1,motion_flag
S3,clean,40,1,motion_flag
S13,clean,40,0,
S5,clean,40,0,
S16,eda_only,40,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S9,eda_only,40,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S4,eda_only,40,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S8,eda_only,40,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S13,eda_only,40,0,
S11,eda_only,40,0,
S10,eda_only,40,0,
S17,eda_only,40,0,
S15,eda_only,40,0,
S14,eda_only,40,0,
S2,eda_only,40,0,
S5,eda_only,40,0,
S3,eda_only,40,0,
S7,eda_only,40,0,
S6,eda_only,40,0,
